Customer_ID,Customer_Name,Email,Phone_Number,City,State,Country,Gender,Age_Group
CUST_1,Customer_1,customer1@example.com,+919192255096,Mumbai,Rajasthan,India,Female,36-45
CUST_2,Customer_2,customer2@example.com,+917409970357,Jaipur,Tamil Nadu,India,Other,46-55
CUST_3,Customer_3,customer3@example.com,+919809148812,Chennai,Karnataka,India,Other,36-45
CUST_4,Customer_4,customer4@example.com,+918038555788,Chennai,Maharashtra,India,Male,26-35
CUST_5,Customer_5,customer5@example.com,+917485721018,Kolkata,Rajasthan,India,Male,18-25
CUST_6,Customer_6,customer6@example.com,+918223076315,Jaipur,Delhi,India,Other,26-35
CUST_7,Customer_7,customer7@example.com,+917436473890,Chennai,Karnataka,India,Female,26-35
CUST_8,Customer_8,customer8@example.com,+917474638275,Hyderabad,Maharashtra,India,Other,26-35
CUST_9,Customer_9,customer9@example.com,+919182713779,Hyderabad,Karnataka,India,Female,26-35
CUST_10,Customer_10,customer10@example.com,+917877169900,Pune,Delhi,India,Other,18-25
CUST_11,Customer_11,customer11@example.com,+919568293247,Hyderabad,Tamil Nadu,India,Male,36-45
CUST_12,Customer_12,customer12@example.com,+918594830308,Pune,Tamil Nadu,India,Female,46-55
CUST_13,Customer_13,customer13@example.com,+919936739210,Hyderabad,Rajasthan,India,Female,18-25
CUST_14,Customer_14,customer14@example.com,+918932193849,Chennai,Delhi,India,Other,26-35
CUST_15,Customer_15,customer15@example.com,+917471799495,Chennai,West Bengal,India,Other,26-35
CUST_16,Customer_16,customer16@example.com,+917188994971,Mumbai,Delhi,India,Female,46-55
CUST_17,Customer_17,customer17@example.com,+917778977276,Delhi,Telangana,India,Female,36-45
CUST_18,Customer_18,customer18@example.com,+917935238625,Chennai,Delhi,India,Female,36-45
CUST_19,Customer_19,customer19@example.com,+917326563172,Hyderabad,Karnataka,India,Other,36-45
CUST_20,Customer_20,customer20@example.com,+919803895138,Jaipur,Maharashtra,India,Male,18-25
CUST_21,Customer_21,customer21@example.com,+918721452135,Bangalore,Rajasthan,India,Female,36-45
CUST_22,Customer_22,customer22@example.com,+918101038586,Chennai,Tamil Nadu,India,Female,46-55
CUST_23,Customer_23,customer23@example.com,+919980514380,Hyderabad,Maharashtra,India,Female,18-25
CUST_24,Customer_24,customer24@example.com,+919378908674,Jaipur,Tamil Nadu,India,Male,46-55
CUST_25,Customer_25,customer25@example.com,+919231153794,Pune,Rajasthan,India,Male,46-55
CUST_26,Customer_26,customer26@example.com,+919433526466,Hyderabad,Telangana,India,Other,26-35
CUST_27,Customer_27,customer27@example.com,+919297383847,Kolkata,Tamil Nadu,India,Male,26-35
CUST_28,Customer_28,customer28@example.com,+919730768833,Jaipur,West Bengal,India,Female,36-45
